ID;Colony;Prec;Trtm;Frg;Species;Species_short;Day;Region;Tank_n;gray_sum
Mdi;A;Ambient;Heat;4;Montipora digitata;M. digitata;3;Indonesia;Tank_12;185,77724020
Mdi;A;ST;Control;1;Montipora digitata;M. digitata;0;Indonesia;Tank_9;92,76464563
Mdi;A;ST;Control;1;Montipora digitata;M. digitata;3;Indonesia;Tank_9;110,56576140
Mdi;A;ST;Heat;2;Montipora digitata;M. digitata;0;Indonesia;Tank_10;101,12216260
Mdi;A;ST;Heat;2;Montipora digitata;M. digitata;3;Indonesia;Tank_10;150,00636150
Mdi;A;ST;Control;3;Montipora digitata;M. digitata;0;Indonesia;Tank_11;93,11268483
Mdi;A;ST;Control;3;Montipora digitata;M. digitata;3;Indonesia;Tank_11;96,28830103
Mdi;A;ST;Heat;4;Montipora digitata;M. digitata;0;Indonesia;Tank_12;106,09422250
Mdi;A;ST;Heat;4;Montipora digitata;M. digitata;3;Indonesia;Tank_12;174,80077740
Mdi;A;VT;Control;1;Montipora digitata;M. digitata;0;Indonesia;Tank_9;108,77898110
Mdi;A;VT;Control;1;Montipora digitata;M. digitata;3;Indonesia;Tank_9;98,61870631
Mdi;A;VT;Heat;2;Montipora digitata;M. digitata;0;Indonesia;Tank_10;100,43965700
Mdi;A;VT;Heat;2;Montipora digitata;M. digitata;3;Indonesia;Tank_10;151,51811560
Mdi;A;VT;Control;3;Montipora digitata;M. digitata;0;Indonesia;Tank_11;103,87612960
Mdi;A;VT;Control;3;Montipora digitata;M. digitata;3;Indonesia;Tank_11;103,71311890
Mdi;A;VT;Heat;4;Montipora digitata;M. digitata;0;Indonesia;Tank_12;106,28657720
Mdi;A;VT;Heat;4;Montipora digitata;M. digitata;3;Indonesia;Tank_12;163,59012450
Mdi;B;Ambient;Control;1;Montipora digitata;M. digitata;0;Indonesia;Tank_9;82,49701943
Mdi;B;Ambient;Control;1;Montipora digitata;M. digitata;3;Indonesia;Tank_9;84,56620907
Mdi;B;Ambient;Heat;2;Montipora digitata;M. digitata;0;Indonesia;Tank_10;92,56625417
Mdi;B;Ambient;Heat;2;Montipora digitata;M. digitata;3;Indonesia;Tank_10;136,85704980
Mdi;B;Ambient;Control;3;Montipora digitata;M. digitata;0;Indonesia;Tank_11;88,58734902
Mdi;B;Ambient;Control;3;Montipora digitata;M. digitata;3;Indonesia;Tank_11;94,62185746
Mdi;B;Ambient;Heat;4;Montipora digitata;M. digitata;0;Indonesia;Tank_12;93,49328275
Mdi;B;Ambient;Heat;4;Montipora digitata;M. digitata;3;Indonesia;Tank_12;136,74567360
Mdi;B;ST;Control;1;Montipora digitata;M. digitata;0;Indonesia;Tank_9;111,47641240
Mdi;B;ST;Control;1;Montipora digitata;M. digitata;3;Indonesia;Tank_9;110,73487700
Mdi;B;ST;Heat;2;Montipora digitata;M. digitata;0;Indonesia;Tank_10;139,96530930
Mdi;B;ST;Heat;2;Montipora digitata;M. digitata;3;Indonesia;Tank_10;151,63973380
Mdi;B;ST;Control;3;Montipora digitata;M. digitata;0;Indonesia;Tank_11;106,67628730
Mdi;B;ST;Control;3;Montipora digitata;M. digitata;3;Indonesia;Tank_11;122,73371230
Mdi;B;ST;Heat;4;Montipora digitata;M. digitata;0;Indonesia;Tank_12;106,91479420
Mdi;B;ST;Heat;4;Montipora digitata;M. digitata;3;Indonesia;Tank_12;129,20372800
Mdi;B;VT;Control;1;Montipora digitata;M. digitata;0;Indonesia;Tank_9;101,89452660
Mdi;B;VT;Control;1;Montipora digitata;M. digitata;3;Indonesia;Tank_9;100,12767690
Mdi;B;VT;Heat;2;Montipora digitata;M. digitata;0;Indonesia;Tank_10;135,89197440
Mdi;B;VT;Heat;2;Montipora digitata;M. digitata;3;Indonesia;Tank_10;155,15985650
Mdi;B;VT;Control;3;Montipora digitata;M. digitata;0;Indonesia;Tank_11;118,56307900
Mdi;B;VT;Control;3;Montipora digitata;M. digitata;3;Indonesia;Tank_11;113,47726100
Mdi;B;VT;Heat;4;Montipora digitata;M. digitata;0;Indonesia;Tank_12;88,89094491
Mdi;B;VT;Heat;4;Montipora digitata;M. digitata;3;Indonesia;Tank_12;119,95927070
Mdi;C;Ambient;Control;1;Montipora digitata;M. digitata;0;Indonesia;Tank_9;102,33991880
Mdi;C;Ambient;Control;1;Montipora digitata;M. digitata;3;Indonesia;Tank_9;105,77506360
Mdi;C;Ambient;Heat;2;Montipora digitata;M. digitata;0;Indonesia;Tank_10;109,57627960
Mdi;C;Ambient;Heat;2;Montipora digitata;M. digitata;3;Indonesia;Tank_10;145,82100700
Mdi;C;Ambient;Control;3;Montipora digitata;M. digitata;0;Indonesia;Tank_11;122,79076870
Mdi;C;Ambient;Control;3;Montipora digitata;M. digitata;3;Indonesia;Tank_11;142,26243560
Mdi;C;Ambient;Heat;4;Montipora digitata;M. digitata;0;Indonesia;Tank_12;108,50472700
Mdi;C;Ambient;Heat;4;Montipora digitata;M. digitata;3;Indonesia;Tank_12;156,19262080
Mdi;C;ST;Control;1;Montipora digitata;M. digitata;0;Indonesia;Tank_9;117,76068970
Mdi;C;ST;Control;1;Montipora digitata;M. digitata;3;Indonesia;Tank_9;127,92901610
Mdi;C;ST;Heat;2;Montipora digitata;M. digitata;0;Indonesia;Tank_10;119,80823790
Mdi;C;ST;Heat;2;Montipora digitata;M. digitata;3;Indonesia;Tank_10;143,43931710
Mdi;C;ST;Control;3;Montipora digitata;M. digitata;0;Indonesia;Tank_11;133,71217940
Mdi;C;ST;Control;3;Montipora digitata;M. digitata;3;Indonesia;Tank_11;138,73266960
Mdi;C;ST;Heat;4;Montipora digitata;M. digitata;0;Indonesia;Tank_12;144,30455950
Mdi;C;ST;Heat;4;Montipora digitata;M. digitata;3;Indonesia;Tank_12;163,96783630
Mdi;C;VT;Control;1;Montipora digitata;M. digitata;0;Indonesia;Tank_9;118,75783810
Mdi;C;VT;Control;1;Montipora digitata;M. digitata;3;Indonesia;Tank_9;119,11159640
Mdi;C;VT;Heat;2;Montipora digitata;M. digitata;0;Indonesia;Tank_10;116,32009080
Mdi;C;VT;Heat;2;Montipora digitata;M. digitata;3;Indonesia;Tank_10;124,48529250
Mdi;C;VT;Control;3;Montipora digitata;M. digitata;0;Indonesia;Tank_11;151,34630050
Mdi;C;VT;Control;3;Montipora digitata;M. digitata;3;Indonesia;Tank_11;157,17633940
Mdi;C;VT;Heat;4;Montipora digitata;M. digitata;0;Indonesia;Tank_12;111,30073520
Mdi;C;VT;Heat;4;Montipora digitata;M. digitata;3;Indonesia;Tank_12;146,28247510
Mdi;D;Ambient;Control;1;Montipora digitata;M. digitata;0;Indonesia;Tank_9;69,95724053
Mdi;D;Ambient;Control;1;Montipora digitata;M. digitata;3;Indonesia;Tank_9;78,78960865
Mdi;D;Ambient;Heat;2;Montipora digitata;M. digitata;0;Indonesia;Tank_10;68,90559919
Mdi;D;Ambient;Heat;2;Montipora digitata;M. digitata;3;Indonesia;Tank_10;92,65133757
Mdi;D;Ambient;Control;3;Montipora digitata;M. digitata;0;Indonesia;Tank_11;72,41577465
Mdi;D;Ambient;Control;3;Montipora digitata;M. digitata;3;Indonesia;Tank_11;89,47446227
Mdi;D;Ambient;Heat;4;Montipora digitata;M. digitata;0;Indonesia;Tank_12;85,00376651
Mdi;D;Ambient;Heat;4;Montipora digitata;M. digitata;3;Indonesia;Tank_12;104,03406060
Mdi;D;ST;Control;1;Montipora digitata;M. digitata;0;Indonesia;Tank_9;90,77281069
Mdi;D;ST;Control;1;Montipora digitata;M. digitata;3;Indonesia;Tank_9;97,34610295
Mdi;D;ST;Heat;2;Montipora digitata;M. digitata;0;Indonesia;Tank_10;88,46568148
Mdi;D;ST;Heat;2;Montipora digitata;M. digitata;3;Indonesia;Tank_10;106,10311810
Mdi;D;ST;Control;3;Montipora digitata;M. digitata;0;Indonesia;Tank_11;102,51157850
Mdi;D;ST;Control;3;Montipora digitata;M. digitata;3;Indonesia;Tank_11;115,88113610
Mdi;D;ST;Heat;4;Montipora digitata;M. digitata;0;Indonesia;Tank_12;91,46764337
Mdi;D;ST;Heat;4;Montipora digitata;M. digitata;3;Indonesia;Tank_12;114,91907000
Mdi;D;VT;Control;1;Montipora digitata;M. digitata;0;Indonesia;Tank_9;96,93684218
Mdi;D;VT;Control;1;Montipora digitata;M. digitata;3;Indonesia;Tank_9;100,10236560
