t,Date,Exp_date,Day,Time,ID,Species_ID,Species,Colony,Prec,Tank_n,Treatment,Meas_type,Frg_n,ML,F,Fm,YII,obs,Survived_day,Status,Region,Year
3848848720,2021-12-16,Day0,0,20:38:40,Amu_D_ST_04,Amu,Acropora muricata,D,ST,Tank_6,Heat,Dark,04,10,0.695,1.612,0.569,1,NA,NA,Indonesia,NA
3848848768,2021-12-16,Day0,0,20:39:28,Amu_A_ST_04,Amu,Acropora muricata,A,ST,Tank_6,Heat,Dark,04,10,0.943,1.794,0.474,1,NA,NA,Indonesia,NA
3848848803,2021-12-16,Day0,0,20:40:03,Amu_A_VT_04,Amu,Acropora muricata,A,VT,Tank_6,Heat,Dark,04,10,0.8,1.769,0.548,1,NA,NA,Indonesia,NA
3848849029,2021-12-16,Day0,0,20:43:49,Amu_L_VT_03,Amu,Acropora muricata,L,VT,Tank_7,Control,Dark,03,10,0.976,1.726,0.435,1,NA,NA,Australia,NA
3848849063,2021-12-16,Day0,0,20:44:23,Amu_N_Control_03,Amu,Acropora muricata,N,Ambient,Tank_7,Control,Dark,03,10,0.639,1.805,0.646,1,NA,NA,Australia,NA
3848849100,2021-12-16,Day0,0,20:45:00,Amu_R_Control_03,Amu,Acropora muricata,R,Ambient,Tank_7,Control,Dark,03,10,0.35,1.075,0.674,1,NA,NA,Australia,NA
3848849126,2021-12-16,Day0,0,20:45:26,Amu_N_VT_03,Amu,Acropora muricata,N,VT,Tank_7,Control,Dark,03,10,0.875,1.587,0.449,1,NA,NA,Australia,NA
3848849148,2021-12-16,Day0,0,20:45:48,Amu_Q_Control_03,Amu,Acropora muricata,Q,Ambient,Tank_7,Control,Dark,03,10,0.328,0.977,0.664,1,NA,NA,Australia,NA
3848849188,2021-12-16,Day0,0,20:46:28,Amu_L_Control_03,Amu,Acropora muricata,L,Ambient,Tank_7,Control,Dark,03,10,0.621,1.832,0.661,1,NA,NA,Australia,NA
3848849228,2021-12-16,Day0,0,20:47:08,Amu_R_VT_03,Amu,Acropora muricata,R,VT,Tank_7,Control,Dark,03,10,0.45,1.242,0.638,1,NA,NA,Australia,NA
3848849248,2021-12-16,Day0,0,20:47:28,Amu_Q_VT_03,Amu,Acropora muricata,Q,VT,Tank_7,Control,Dark,03,10,0.596,1.576,0.622,1,NA,NA,Australia,NA
3848849270,2021-12-16,Day0,0,20:47:50,Amu_Q_ST_03,Amu,Acropora muricata,Q,ST,Tank_7,Control,Dark,03,10,0.618,1.7,0.636,1,NA,NA,Australia,NA
3848849294,2021-12-16,Day0,0,20:48:14,Amu_R_ST_03,Amu,Acropora muricata,R,ST,Tank_7,Control,Dark,03,10,0.61,1.938,0.685,1,NA,NA,Australia,NA
3848849313,2021-12-16,Day0,0,20:48:33,Amu_L_ST_03,Amu,Acropora muricata,L,ST,Tank_7,Control,Dark,03,10,0.68,1.766,0.615,1,NA,NA,Australia,NA
3848849333,2021-12-16,Day0,0,20:48:53,Amu_N_ST_03,Amu,Acropora muricata,N,ST,Tank_7,Control,Dark,03,10,1.021,2.058,0.504,1,NA,NA,Australia,NA
3848849457,2021-12-16,Day0,0,20:50:57,Amu_N_VT_04,Amu,Acropora muricata,N,VT,Tank_8,Heat,Dark,04,10,1.039,1.688,0.384,1,NA,NA,Australia,NA
3848849517,2021-12-16,Day0,0,20:51:57,Amu_R_Control_04,Amu,Acropora muricata,R,Ambient,Tank_8,Heat,Dark,04,10,0.43,1.356,0.683,1,NA,NA,Australia,NA
3848849568,2021-12-16,Day0,0,20:52:48,Amu_Q_Control_04,Amu,Acropora muricata,Q,Ambient,Tank_8,Heat,Dark,04,10,0.349,1.063,0.672,1,NA,NA,Australia,NA
3848849589,2021-12-16,Day0,0,20:53:09,Amu_N_ST_04,Amu,Acropora muricata,N,ST,Tank_8,Heat,Dark,04,10,1.005,1.751,0.426,1,NA,NA,Australia,NA
3848849646,2021-12-16,Day0,0,20:54:06,Amu_N_Control_04,Amu,Acropora muricata,N,Ambient,Tank_8,Heat,Dark,04,10,0.663,1.896,0.65,1,NA,NA,Australia,NA
3848849678,2021-12-16,Day0,0,20:54:38,Amu_L_Control_04,Amu,Acropora muricata,L,Ambient,Tank_8,Heat,Dark,04,10,0.614,1.797,0.658,1,NA,NA,Australia,NA
3848849707,2021-12-16,Day0,0,20:55:07,Amu_L_VT_04,Amu,Acropora muricata,L,VT,Tank_8,Heat,Dark,04,10,0.922,2.029,0.546,1,NA,NA,Australia,NA
3848849728,2021-12-16,Day0,0,20:55:28,Amu_R_VT_04,Amu,Acropora muricata,R,VT,Tank_8,Heat,Dark,04,10,0.493,1.489,0.669,1,NA,NA,Australia,NA
3848849766,2021-12-16,Day0,0,20:56:06,Amu_Q_ST_04,Amu,Acropora muricata,Q,ST,Tank_8,Heat,Dark,04,10,0.455,1.375,0.669,1,NA,NA,Australia,NA
3848849797,2021-12-16,Day0,0,20:56:37,Amu_R_ST_04,Amu,Acropora muricata,R,ST,Tank_8,Heat,Dark,04,10,0.641,1.647,0.611,1,NA,NA,Australia,NA
3848849818,2021-12-16,Day0,0,20:56:58,Amu_L_ST_04,Amu,Acropora muricata,L,ST,Tank_8,Heat,Dark,04,10,0.722,1.837,0.607,1,NA,NA,Australia,NA
3848849838,2021-12-16,Day0,0,20:57:18,Amu_Q_VT_04,Amu,Acropora muricata,Q,VT,Tank_8,Heat,Dark,04,10,0.498,1.505,0.669,1,NA,NA,Australia,NA
3848849979,2021-12-16,Day0,0,20:59:39,Mdi_D_Control_01,Mdi,Montipora digitata,D,Ambient,Tank_9,Control,Dark,01,10,0.667,1.75,0.619,1,NA,NA,Indonesia,NA
3848850003,2021-12-16,Day0,0,21:00:03,Mdi_C_Control_01,Mdi,Montipora digitata,C,Ambient,Tank_9,Control,Dark,01,10,0.565,1.529,0.63,1,NA,NA,Indonesia,NA
3848850038,2021-12-16,Day0,0,21:00:38,Mdi_B_Control_01,Mdi,Montipora digitata,B,Ambient,Tank_9,Control,Dark,01,10,0.586,1.456,0.598,1,NA,NA,Indonesia,NA
3848850090,2021-12-16,Day0,0,21:01:30,Mdi_C_ST_01,Mdi,Montipora digitata,C,ST,Tank_9,Control,Dark,01,10,0.514,1.418,0.638,1,NA,NA,Indonesia,NA
3848850121,2021-12-16,Day0,0,21:02:01,Mdi_A_Control_01,Mdi,Montipora digitata,A,Ambient,Tank_9,Control,Dark,01,10,0.467,1.289,0.638,1,NA,NA,Indonesia,NA
