Species;Species_ID;Colony;Prec;Frg_n;Treatment;Day;Tank_n;Region;F;Fm;YII;obs;Survived_day;Status
Montipora digitata;Mdi;B;Ambient;4;Heat;0;Tank_12;Indonesia;0,522;1,301;0,599;3;NA;NA
Montipora digitata;Mdi;A;ST;4;Heat;0;Tank_12;Indonesia;0,533;1,191;0,552;1;NA;NA
Montipora digitata;Mdi;A;ST;4;Heat;0;Tank_12;Indonesia;0,265;0,625;0,576;2;NA;NA
Montipora digitata;Mdi;A;ST;4;Heat;0;Tank_12;Indonesia;0,440;1,057;0,584;3;NA;NA
Montipora digitata;Mdi;D;Ambient;4;Heat;0;Tank_12;Indonesia;0,332;0,825;0,598;1;NA;NA
Montipora digitata;Mdi;D;Ambient;4;Heat;0;Tank_12;Indonesia;0,406;0,969;0,581;2;NA;NA
Montipora digitata;Mdi;D;Ambient;4;Heat;0;Tank_12;Indonesia;0,402;0,979;0,589;3;NA;NA
Acropora muricata;Amu;A;VT;2;Heat;0;Tank_2;Indonesia;0,767;1,226;0,374;1;NA;NA
Acropora muricata;Amu;A;VT;2;Heat;0;Tank_2;Indonesia;0,771;1,273;0,394;2;NA;NA
Acropora muricata;Amu;A;VT;2;Heat;0;Tank_2;Indonesia;0,780;1,415;0,449;3;NA;NA
Acropora muricata;Amu;B;Ambient;2;Heat;0;Tank_2;Indonesia;0,407;1,026;0,603;1;NA;NA
Acropora muricata;Amu;B;Ambient;2;Heat;0;Tank_2;Indonesia;0,432;1,184;0,635;2;NA;NA
Acropora muricata;Amu;B;Ambient;2;Heat;0;Tank_2;Indonesia;0,605;1,505;0,598;3;NA;NA
Acropora muricata;Amu;B;ST;2;Heat;0;Tank_2;Indonesia;0,687;1,376;0,501;1;NA;NA
Acropora muricata;Amu;B;ST;2;Heat;0;Tank_2;Indonesia;0,719;1,357;0,470;2;NA;NA
Acropora muricata;Amu;B;ST;2;Heat;0;Tank_2;Indonesia;0,784;1,447;0,458;3;NA;NA
Acropora muricata;Amu;D;Ambient;2;Heat;0;Tank_2;Indonesia;0,380;1,000;0,620;1;NA;NA
Acropora muricata;Amu;D;Ambient;2;Heat;0;Tank_2;Indonesia;0,384;1,043;0,632;2;NA;NA
Acropora muricata;Amu;D;Ambient;2;Heat;0;Tank_2;Indonesia;0,255;0,696;0,634;3;NA;NA
Acropora muricata;Amu;D;ST;2;Heat;0;Tank_2;Indonesia;0,613;1,164;0,473;1;NA;NA
Acropora muricata;Amu;D;ST;2;Heat;0;Tank_2;Indonesia;0,624;1,179;0,471;2;NA;NA
Acropora muricata;Amu;D;ST;2;Heat;0;Tank_2;Indonesia;0,450;0,937;0,520;3;NA;NA
Acropora muricata;Amu;D;VT;2;Heat;0;Tank_2;Indonesia;0,731;1,370;0,466;1;NA;NA
Acropora muricata;Amu;D;VT;2;Heat;0;Tank_2;Indonesia;0,578;1,071;0,460;2;NA;NA
Acropora muricata;Amu;D;VT;2;Heat;0;Tank_2;Indonesia;0,445;0,886;0,498;3;NA;NA
Acropora muricata;Amu;B;VT;2;Heat;0;Tank_2;Indonesia;0,817;1,336;0,388;1;NA;NA
Acropora muricata;Amu;B;VT;2;Heat;0;Tank_2;Indonesia;0,707;1,170;0,396;2;NA;NA
Acropora muricata;Amu;B;VT;2;Heat;0;Tank_2;Indonesia;0,903;1,510;0,402;3;NA;NA
Acropora muricata;Amu;C;Ambient;2;Heat;0;Tank_2;Indonesia;0,320;0,803;0,601;1;NA;NA
